Experiment.ID,Library.ID,Library.type,Gene.ID,Anatomical.entity.ID,Anatomical.entity.name,Stage.ID,Stage.name,Sex,Strain,Read.count,TPM,FPKM,Rank,Detection.flag,pValue,State.in.Bgee
GSE30611,ERX011211,single,ENSG00000100532,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,345.00024,5.491097,5.110828,6649,present,3.90405628726306e-9,Part of a call
GSE30611,ERX011211,single,ENSG00000100554,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1815.0001,24.548659,22.848617,2381,present,8.46424948684988e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100557,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1310.99596,9.308888,8.664229,4902,present,2.39962428478754e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100558,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,494.0001,8.118084,7.555891,5338,present,5.04221120183556e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100564,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,763.50718,9.41415,8.762202,4850,present,2.25624764464918e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100565,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,0,0,0,32341,absent,1,Part of a call
GSE30611,ERX011211,single,ENSG00000100567,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4200.99665,106.276068,98.916243,667,present,4.5776790046907e-17,Part of a call
GSE30611,ERX011211,single,ENSG00000100568,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3628.9902,49.552987,46.121345,1279,present,9.2627571815713908e-15,Part of a call
GSE30611,ERX011211,single,ENSG00000100575,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,828.82722,24.753237,23.039027,2366,present,8.04117532500762e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100577,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1545.06871,27.422645,25.523574,2192,present,4.25407942317144e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100578,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,787.263012,3.481283,3.240198,8242,present,3.69428145474074e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100580,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,566.935,1.071121,0.996944,12025,present,6.21444918618348e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000100583,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,10,0.059033,0.054945,21630,present,0.0298763579440622,Part of a call
GSE30611,ERX011211,single,ENSG00000100591,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2508.9973,46.51234,43.29127,1357,present,1.4121775499301301e-14,Part of a call
GSE30611,ERX011211,single,ENSG00000100592,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1748.32035,4.508989,4.196732,7347,present,1.05067841277349e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100593,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,0,0,0,32341,absent,1,Part of a call
GSE30611,ERX011211,single,ENSG00000100596,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1237.97765,2.813037,2.6182280000000002,8985,present,1.00426533697134e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100599,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1128.00014,5.519273,5.137052,6630,present,3.803506316218621e-9,Part of a call
GSE30611,ERX011211,single,ENSG00000100600,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4110.95278,40.356541,37.561772,1569,present,3.59663603703179e-14,Part of a call
GSE30611,ERX011211,single,ENSG00000100601,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,332.99952,3.056292,2.8446380000000002,8695,present,6.83146733627704e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100603,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1451.03283,12.167696,11.325059,4035,present,5.39784793361532e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100604,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,0,0,0,32341,absent,1,Part of a call
GSE30611,ERX011211,single,ENSG00000100605,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2311.00586,11.757945,10.943684,4149,present,6.551644121174719e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100612,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,5279.3374,83.643814,77.851316,814,present,2.5362833340678397e-16,Part of a call
GSE30611,ERX011211,single,ENSG00000100614,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3864.0019,21.000592,19.54626,2704,present,2.19952128282703e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100625,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,37.0034,0.106439,0.099068,19640,present,0.00845899026784187,Part of a call
GSE30611,ERX011211,single,ENSG00000100626,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,41.000268,0.157065,0.146188,18272,present,0.00324055985175992,Part of a call
GSE30611,ERX011211,single,ENSG00000100628,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,11,0.071831,0.066857,20970,present,0.0201331056363296,Part of a call
GSE30611,ERX011211,single,ENSG00000100629,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,21.999991,0.100302,0.093356,19858,present,0.00970591691319409,Part of a call
GSE30611,ERX011211,single,ENSG00000100632,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3212.9636,79.869893,74.338747,838,present,3.51133762952088e-16,Part of a call
GSE30611,ERX011211,single,ENSG00000100644,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4567.3533,27.089274,25.213289,2208,present,4.59206995278818e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100647,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1247.9947,3.587857,3.339391,8144,present,3.19849405946104e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100650,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,5772.92758,70.205342,65.343485,954,present,8.64084184823398e-16,Part of a call
GSE30611,ERX011211,single,ENSG00000100652,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2552,20.606338,19.179309,2757,present,2.46694691043068e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100664,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,21950.98859,107.906292,100.43357,652,present,4.0999178069825e-17,Part of a call
GSE30611,ERX011211,single,ENSG00000100665,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6514.004,66.334214,61.74044,1006,present,1.2790132507919801e-15,Part of a call
GSE30611,ERX011211,single,ENSG00000100678,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6,0.028935,0.026931,23159,absent,0.101918404919581,Part of a call
GSE30611,ERX011211,single,ENSG00000100697,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3106.002891,6.741566,6.2747,5952,present,1.35210103452571e-9,Part of a call
GSE30611,ERX011211,single,ENSG00000100711,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,651.76509,8.17066,7.604826,5323,present,4.87008917033592e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100714,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,15779.491023,136.187562,126.756307,526,present,7.439924107232e-18,Part of a call
GSE30611,ERX011211,single,ENSG00000100721,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6,0.319128,0.297028,15862,present,4.33006731508796e-4,Part of a call
GSE30611,ERX011211,single,ENSG00000100722,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2491.70094,12.707573,11.827548,3921,present,4.2177429381539e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100726,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,322.9996,3.654095,3.401042,8064,present,2.9298176305391e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100731,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2300.68809,7.674,7.142561,5532,present,6.81489572116977e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100739,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1.32552,0.018027,0.016779,23714,absent,0.193617386200543,Part of a call
GSE30611,ERX011211,single,ENSG00000100744,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1928.99517,14.167567,13.186435,3630,present,2.25978262395107e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100749,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,131.94015,2.116356,1.969795,9950,present,3.62890718647728e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100764,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4284.0606,60.375429,56.194313,1074,present,2.43951068973949e-15,Part of a call
GSE30611,ERX011211,single,ENSG00000100767,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,105.000054,0.483099,0.449643,14483,present,1.13631478029093e-4,Part of a call
GSE30611,ERX011211,single,ENSG00000100784,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,145.3082,0.317448,0.295464,15878,present,4.40107030525262e-4,Part of a call
GSE30611,ERX011211,single,ENSG00000100796,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2516.99575,20.148923,18.753571,2810,present,2.82509722188533e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100802,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,111.644193,0.974272,0.906801,12317,present,8.99031935738895e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000100804,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3877.00089,73.984654,68.861072,909,present,6.00062103828608e-16,Part of a call
GSE30611,ERX011211,single,ENSG00000100811,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4750.9932,21.096457,19.635486,2695,present,2.1395925998846996e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100813,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2073.822824,10.486825,9.760592,4506,present,1.24354182644776e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100814,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,870.99973,11.405321,10.61548,4234,present,7.777147781573879e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100815,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1613.578,2.77855,2.58613,9035,present,1.06305333044119e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100823,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3235.99643,43.399254,40.393771,1458,present,2.2325437625704602e-14,Part of a call
GSE30611,ERX011211,single,ENSG00000100836,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3101.14354,26.478194,24.644528,2253,present,5.29438774390363e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100842,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,26,0.171247,0.159388,17962,present,0.0025823328311393,Part of a call
GSE30611,ERX011211,single,ENSG00000100852,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2014.083256,7.607435,7.080605,5560,present,7.13896582660476e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100865,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1075.2704,20.539598,19.117191,2764,present,2.5158267278372e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100867,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,930.0003,9.477223,8.820906,4824,present,2.17513015584509e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100883,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3963.414337,30.434209,28.326581,2010,present,2.20847415526643e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100884,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,5.999999,0.146816,0.136648,18482,present,0.00385534878712798,Part of a call
GSE30611,ERX011211,single,ENSG00000100888,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1614.00081,8.151805,7.587277,5329,present,4.93107224342997e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100889,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,8998.99542,72.481992,67.462472,922,present,6.92260079267868e-16,Part of a call
GSE30611,ERX011211,single,ENSG00000100890,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1489.60439,13.185666,12.272533,3817,present,3.4155979392174794e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100897,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,12368.321011,71.428161,66.481621,933,present,7.664801633780019e-16,Part of a call
GSE30611,ERX011211,single,ENSG00000100902,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6073.7135,141.819867,131.998564,511,present,5.505217412947e-18,Part of a call
GSE30611,ERX011211,single,ENSG00000100906,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3948.99577,45.584286,42.427485,1388,present,1.61407393426291e-14,Part of a call
GSE30611,ERX011211,single,ENSG00000100908,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,597.9998,14.178276,13.196403,3628,present,2.25002095080839e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100911,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4155.74136,103.147854,96.004663,686,present,5.6807113966008e-17,Part of a call
GSE30611,ERX011211,single,ENSG00000100916,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,327.82707,2.211596,2.058439,9777,present,2.98610172813798e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100918,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,83.999953,1.73707,1.616774,10580,present,8.55578291603299e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100926,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2773.9041,22.622558,21.055902,2566,present,1.39839966069516e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100934,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,9535.00311,36.983365,34.422194,1689,present,6.34418257669683e-14,Part of a call
GSE30611,ERX011211,single,ENSG00000100938,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1514.999661,23.419147,21.797325,2486,present,1.13119010024036e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000100941,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2440.99475,10.743735,9.99971,4426,present,1.08672959129531e-10,Part of a call
GSE30611,ERX011211,single,ENSG00000100949,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,506.090556,6.959164,6.477228,5854,present,1.1442651363738e-9,Part of a call
GSE30611,ERX011211,single,ENSG00000100968,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,55.000017,1.365326,1.270775,11292,present,2.34503064823031e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000100979,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3132.845801,31.81588,29.612568,1939,present,1.66627819470114e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100982,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,612.9996,4.502965,4.191125,7353,present,1.05766671174862e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100983,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1749.00393,16.116705,15.000592,3325,present,1.0668031146764499e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100985,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,36.8006,0.266783,0.248308,16447,present,7.43942605866745e-4,Part of a call
GSE30611,ERX011211,single,ENSG00000100987,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,11.999987,0.104369,0.097142,19709,present,0.00885471792475185,Part of a call
GSE30611,ERX011211,single,ENSG00000100991,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,2799,14.211479,13.227306,3624,present,2.21980487903448e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000100994,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,839.0002,3.456078,3.216738,8266,present,3.82448641499577e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100997,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1052.000393,14.524045,13.518227,3577,present,1.95721551288288e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000101000,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,102.0462,1.377266,1.281888,11269,present,2.26270570997063e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000101003,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,30.5067,0.13769700000000001,0.128161,18718,present,0.00453437515822117,Part of a call
GSE30611,ERX011211,single,ENSG00000101004,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,141.000005,0.844437,0.785958,12740,present,1.55091507115835e-5,Part of a call
GSE30611,ERX011211,single,ENSG00000101017,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,491,5.379415,5.00688,6720,present,4.3342594503581205e-9,Part of a call
GSE30611,ERX011211,single,ENSG00000101019,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1309.606242,11.543027,10.74365,4195,present,7.269480121158719e-11,Part of a call
GSE30611,ERX011211,single,ENSG00000101040,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,687.000486,2.034907,1.893986,10076,present,4.31275976188173e-7,Part of a call
