gene_name,family,species_label,container,n_samples,mean_rel_exp,median_rel_exp,max_rel_exp
SLCO1B1,SLCO,Rat,SmallIntestine,5,4.418072979709997e-4,2.507041587825226e-4,0.0011070995843140178
SLCO1B1,SLCO,Rat,Spleen,2,0.01798702520380045,0.01798702520380045,0.033743532316577333
SLCO1B1,SLCO,Rat,Stomach,2,4.7694400193264575e-4,4.7694400193264575e-4,4.926501221775405e-4
SLCO1B1,SLCO,Rat,Thyroid,5,0.0016156600924112075,4.2785172700761056e-4,0.0066243791208798345
SLCO1B1,SLCO,Rat,Undefined,1,0.004575567160814662,0.004575567160814662,0.004575567160814662
SLCO1B1,SLCO,Rat,UpperIleum,1,0.0011070995843140178,0.0011070995843140178,0.0011070995843140178
SLCO1B1,SLCO,Rat,UpperJejunum,1,2.507041587825226e-4,2.507041587825226e-4,2.507041587825226e-4
SLCO1B1,SLCO,Mouse,BloodCells,23,0.002485191279610775,0.0018892500845130015,0.01244624754618003
SLCO1B1,SLCO,Mouse,Bone,177,0.013277079157849064,0.006648445514917043,0.31064723181248916
SLCO1B1,SLCO,Mouse,Brain,160,0.0012787485608646008,6.227244890099259e-4,0.01310251146683329
SLCO1B1,SLCO,Mouse,Breasts,1,2.467744287331096e-4,2.467744287331096e-4,2.467744287331096e-4
SLCO1B1,SLCO,Mouse,Caecum,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,ColonAscendens,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,ColonDescendens,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,ColonSigmoid,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,ColonTransversum,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,Duodenum,63,5.144394895758214e-4,2.778226709732518e-4,0.005477399021570707
SLCO1B1,SLCO,Mouse,Embryo,11,0.002440518307772409,0.0012244997889113856,0.008184938165464435
