Stage.name;Stage.ID
EIGHTH DECADE STAGE (HUMAN);HsapDv:0000242
1-YEAR-OLD STAGE (HUMAN);HsapDv:0000246
111-YEAR-OLD STAGE (HUMAN);HsapDv:0000252
YOUNG ADULT STAGE (HUMAN);HsapDv:0000266
MIDDLE AGED STAGE (HUMAN);HsapDv:0000267
1-MONTH-OLD STAGE (HUMAN);HsapDv:0000273
2-MONTH-OLD STAGE (MACAQUE);MmulDv:0000006
4-MONTH-OLD STAGE (MACAQUE);MmulDv:0000008
5-MONTH-OLD STAGE (MACAQUE);MmulDv:0000009
6-MONTH-OLD STAGE (MACAQUE);MmulDv:0000010
1-YEAR-OLD STAGE (MACAQUE);MmulDv:0000018
3-YEAR-OLD IMMATURE STAGE (MACAQUE);MmulDv:0000020
3-YEAR-OLD MATURE STAGE (MACAQUE);MmulDv:0000023
4-YEAR-OLD STAGE (MACAQUE);MmulDv:0000024
5-YEAR-OLD STAGE (MACAQUE);MmulDv:0000025
6-YEAR-OLD STAGE (MACAQUE);MmulDv:0000026
7-YEAR-OLD STAGE (MACAQUE);MmulDv:0000027
8-YEAR-OLD STAGE (MACAQUE);MmulDv:0000028
9-YEAR-OLD STAGE (MACAQUE);MmulDv:0000029
10-YEAR-OLD STAGE (MACAQUE);MmulDv:0000030
11-YEAR-OLD STAGE (MACAQUE);MmulDv:0000031
13-YEAR-OLD STAGE (MACAQUE);MmulDv:0000033
14-YEAR-OLD STAGE (MACAQUE);MmulDv:0000034
15-YEAR-OLD STAGE (MACAQUE);MmulDv:0000035
16-YEAR-OLD STAGE (MACAQUE);MmulDv:0000036
19-YEAR-OLD STAGE (MACAQUE);MmulDv:0000039
20-YEAR-OLD STAGE (MACAQUE);MmulDv:0000040
21-YEAR-OLD STAGE (MACAQUE);MmulDv:0000041
22-YEAR-OLD STAGE (MACAQUE);MmulDv:0000042
26-YEAR-OLD STAGE (MACAQUE);MmulDv:0000048
THEILER STAGE 10 (MOUSE);MmusDv:0000015
THEILER STAGE 12 (MOUSE);MmusDv:0000019
THEILER STAGE 13 (MOUSE);MmusDv:0000020
THEILER STAGE 14 (MOUSE);MmusDv:0000021
THEILER STAGE 15 (MOUSE);MmusDv:0000022
THEILER STAGE 16 (MOUSE);MmusDv:0000023
THEILER STAGE 17 (MOUSE);MmusDv:0000024
THEILER STAGE 18 (MOUSE);MmusDv:0000025
THEILER STAGE 19 (MOUSE);MmusDv:0000026
THEILER STAGE 20 (MOUSE);MmusDv:0000027
THEILER STAGE 21 (MOUSE);MmusDv:0000028
THEILER STAGE 22 (MOUSE);MmusDv:0000029
THEILER STAGE 23 (MOUSE);MmusDv:0000032
THEILER STAGE 24 (MOUSE);MmusDv:0000033
THEILER STAGE 25 (MOUSE);MmusDv:0000034
THEILER STAGE 26 (MOUSE);MmusDv:0000035
2-MONTH-OLD STAGE (MOUSE);MmusDv:0000062
3-MONTH-OLD STAGE (MOUSE);MmusDv:0000063
6-MONTH-OLD STAGE (MOUSE);MmusDv:0000077
7-MONTH-OLD STAGE (MOUSE);MmusDv:0000078
8-MONTH-OLD STAGE (MOUSE);MmusDv:0000079
9-MONTH-OLD STAGE (MOUSE);MmusDv:0000080
10-MONTH-OLD STAGE (MOUSE);MmusDv:0000081
12-MONTH-OLD STAGE (MOUSE);MmusDv:0000083
14-MONTH-OLD STAGE (MOUSE);MmusDv:0000085
15-MONTH-OLD STAGE (MOUSE);MmusDv:0000086
18-MONTH-OLD STAGE (MOUSE);MmusDv:0000089
20-MONTH-OLD STAGE AND OVER (MOUSE);MmusDv:0000091
5-DAY-OLD STAGE (MOUSE);MmusDv:0000115
6-DAY-OLD STAGE (MOUSE);MmusDv:0000116
9-DAY-OLD STAGE (MOUSE);MmusDv:0000119
11-DAY-OLD STAGE (MOUSE);MmusDv:0000121
21-MONTH-OLD STAGE (MOUSE);MmusDv:0000125
22-MONTH-OLD STAGE (MOUSE);MmusDv:0000126
24-MONTH-OLD STAGE (MOUSE);MmusDv:0000128
26-MONTH-OLD STAGE (MOUSE);MmusDv:0000130
27-MONTH-OLD STAGE (MOUSE);MmusDv:0000131
28-MONTH-OLD STAGE (MOUSE);MmusDv:0000132
29-MONTH-OLD STAGE (MOUSE);MmusDv:0000133
4-6 DAYS (MOUSE);MmusDv:0000139
2-WEEK-OLD STAGE (MOUSE);MmusDv:0000141
4-WEEK-OLD STAGE (MOUSE);MmusDv:0000149
YOUNG ADULT STAGE (MOUSE);MmusDv:0000153
8-WEEK-OLD STAGE (MOUSE);MmusDv:0000154
9-WEEK-OLD STAGE (MOUSE);MmusDv:0000155
10-WEEK-OLD STAGE (MOUSE);MmusDv:0000156
11-WEEK-OLD STAGE (MOUSE);MmusDv:0000157
12-WEEK-OLD STAGE (MOUSE);MmusDv:0000158
13-WEEK-OLD STAGE (MOUSE);MmusDv:0000159
14-WEEK-OLD STAGE (MOUSE);MmusDv:0000160
16-WEEK-OLD STAGE (MOUSE);MmusDv:0000162
20-WEEK-OLD STAGE (MOUSE);MmusDv:0000166
24-WEEK-OLD STAGE (MOUSE);MmusDv:0000170
28-WEEK-OLD STAGE (MOUSE);MmusDv:0000174
30-MONTH-OLD STAGE (MOUSE);MmusDv:0000176
DAY 12 EMBRYONIC STAGE (SHEEP);OariDv:0000016
DAY 14 EMBRYONIC STAGE (SHEEP);OariDv:0000018
DAY 16 EMBRYONIC STAGE (SHEEP);OariDv:0000020
DAY 20 EMBRYONIC STAGE (SHEEP);OariDv:0000022
DAY 21 AND OVER EMBRYONIC STAGE (SHEEP);OariDv:0000023
TAIL BUD EMBRYO STAGE (RAT);RnorDv:0000008
METAMORPHOSING EMBRYO STAGE (RAT);RnorDv:0000010
10-WEEK-OLD STAGE (RAT);RnorDv:0000016
11-WEEK-OLD STAGE (RAT);RnorDv:0000017
3-MONTH-OLD STAGE (RAT);RnorDv:0000018
4-MONTH-OLD STAGE (RAT);RnorDv:0000020
6-MONTH-OLD STAGE (RAT);RnorDv:0000022
7-MONTH-OLD STAGE (RAT);RnorDv:0000023
8-MONTH-OLD STAGE (RAT);RnorDv:0000024
12-MONTH-OLD STAGE (RAT);RnorDv:0000028
18-MONTH-OLD STAGE (RAT);RnorDv:0000034
20-MONTH-OLD STAGE (RAT);RnorDv:0000036
22-MONTH-OLD STAGE (RAT);RnorDv:0000038
23-MONTH-OLD STAGE (RAT);RnorDv:0000039
24-MONTH-OLD STAGE (RAT);RnorDv:0000041
2-WEEK-OLD STAGE (PIG);SscrDv:0000011
7-WEEK-OLD STAGE (PIG);SscrDv:0000016
8-WEEK-OLD STAGE (PIG);SscrDv:0000017
25-DAY-OLD STAGE (PIG);SscrDv:0000022
28-DAY-OLD STAGE (PIG);SscrDv:0000025
29-DAY-OLD STAGE (PIG);SscrDv:0000026
30-DAY-OLD STAGE (PIG);SscrDv:0000027
35-DAY-OLD STAGE (PIG);SscrDv:0000032
2-MONTH-OLD STAGE (PIG);SscrDv:0000039
11-WEEK-OLD STAGE (PIG);SscrDv:0000042
12-WEEK-OLD STAGE (PIG);SscrDv:0000044
4-MONTH-OLD STAGE (PIG);SscrDv:0000048
16-WEEK-OLD STAGE (PIG);SscrDv:0000049
17-WEEK-OLD STAGE (PIG);SscrDv:0000050
19-WEEK-OLD STAGE (PIG);SscrDv:0000052
